X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
620369.5399,516118.5999,9893,85192,MIDDLEBROOK SHOPPING CTR,816 DEAL RD,G000043178,LSRP,Active,C2,Ongoing,1,Monmouth
596434.9599,720995.6301,9894,85198,LYNDHURST SHOPPING CENTER,401 441 VALLEY BROOK AVE,G000043187,LSRP,Active,C3,Ongoing,1,Bergen
551454,626171.9998,9895,85211,215 MAIN ST,215 MAIN ST,G000043242,,Active,C1,,0,Middlesex
585825.0001,421505.0001,9896,85213,312 BARCELONA DRIVE,312 BARCELONA DR,G000043244,,Active,C1,,0,Ocean
604387.0001,742605.9999,9897,85223,365 PASSAIC AVENUE,365 PASSAIC AVE,G000043305,,Active,C2,,0,Bergen
592336.9999,713186,9898,85250,2 HIGH ST,2 HIGH ST,G000043410,,Active,C1,,0,Bergen
503011.0001,187132,9899,85251,42 DELANCEY PL S,42 DELANCEY PL S,G000043411,,Active,C1,,0,Atlantic
621399.0002,733425.9999,9900,85300,FOOT OF INDUSTRIAL AVENUE,100 INDUSTRIAL AVE,G000043705,LSRP,Active,C2,Ongoing,1,Bergen
636675.1799,724507.1001,9901,85304,NORTH RIVER MEWS,770 RIVER RD,G000043719,RAP,Active - RAP,,,0,Bergen
505709.9999,605636.9999,9902,85378,23 DIVISION ST,23 DIVISION ST,G000044089,,Active,C1,,0,Middlesex
572562.0001,719661.9999,9903,85452,ALISTER MONTCLAIR,11 PINE ST,G000044443,RAP,Active - RAP,,,0,Essex
503293.0002,190100.9999,9904,85473,425 N HARRISBURG AVE,425 N HARRISBURG AVE,G000044529,,Active,C2,,0,Atlantic
558678.9999,691230,9905,85489,37 NORFOLK AVE,37 NORFOLK AVE,G000044635,,Active,C1,,0,Essex
597315.0001,404956,9906,85526,SOUTH GILFORD PARK GROUND WATER CONTAM,MCGINLEY AVE & GROVER RD,G000044759,PUB FUNDED,Active,C3,,2,Ocean
551608,604210.0001,9907,85528,PIER 7 DEVELOPMENT GROUP,101 LOWER MAIN ST,G000044786,LSRP,Active,C3,Ongoing,1,Middlesex
570673.9999,579030,9908,85530,18 CENTRAL AVE,18 CENTRAL AVE,G000044818,RAP,Active - RAP,,,0,Monmouth
620620.0001,750050.0001,9909,85533,836 CEDAR LANE IFO,836 CEDAR LN,G000044835,LSRP,Active,C2,,1,Bergen
558268.1901,610782.7301,9910,85552,WESTMINSTER REALTY EAST AREA,368 RECTOR ST,G000044892,LSRP,Active,C1,,1,Middlesex
324620.9999,392106.0001,9911,85556,JOHN DINASO & SONS INC BUILDING SUPPLY,2820 MT EPHRAIM AVE,G000044907,POST-REM,Active - Post Rem,C1,,1,Camden
628965.0001,555481.0002,9912,85573,71 BELLEVUE AVENUE,71 BELLEVUE AVE,G000045020,,Active,C1,,0,Monmouth
567290.0001,684591.0001,9913,85590,RUGER CHEMICAL INCORPORATED,498 CHANCELLOR AVE,G000059652,LSRP,Active,D,,1,Essex
510489.9999,193196,9914,85601,OCEANSIDE CHARTER SCHOOL,1750 BACARACH BLVD,G000059739,RAP,Active - RAP,B,,0,Atlantic
502840.0001,603349.9999,9915,85613,SOMERSET STREET PROPERTY,FRENCH & SOMERSET ST,G000059777,RAP,Active - RAP,,,0,Middlesex
571529.0002,717655,9916,85662,19 WHEELER ST,19 WHEELER ST,G000059965,,Active,C1,,0,Essex
622193.9999,532101,9917,85710,MACINTOSH INN,294 RTE 36 E,G000060210,RAP,Active - RAP,,,0,Monmouth
510518.0001,190955.9999,9918,85725,2001 PACIFIC AVENUE,2001 PACIFIC AVE,G000060250,LSRP,Active,C1,,1,Atlantic
582053.0001,410694,9919,85756,257 RTE 37 E,257 RTE 37 E,G000060309,UNK SOURCE,Pending,,,2,Ocean
467674.9999,675460,9920,85793,139 WHITENACK RD,139 WHITENACK RD,G000060454,,Active,C2,,0,Somerset
567650,685266.0001,9921,85824,ORELITE CHEMICAL COATINGS INCORPORATED,62 WOOLSEY ST,G000001075,LSRP,Active,D,,1,Essex
561510.9999,660619.9999,9922,599675,WAWA FOOD MARKET #8392,1159 1171 ST GEORGE AVE,G000009703,LSRP,Active,C2,,1,Union
615543.0001,686625,9923,599924,460 GRAND STREET,460 GRAND ST,753929,LSRP,Active,C2,,1,Hudson
591232.4499,715259.7898,9924,600034,BELLEVILLE REALIY HOLDING CORPORATION,491 519 MAIN ST,754082,RAP,Active - RAP,,,0,Essex
443042.9999,689514.0001,9925,600043,SUTHERLAND RESIDENCE @ 5 RIDGE RD,5 RIDGE RD,754097,,Active,C1,,0,Somerset
605453.0901,674005.2001,9926,600100,56 68 HARBOR DRIVE,56 68 HARBOR DR,754162,LSRP,Active,C1,,1,Hudson
407527.0001,567166.0001,9927,600152,116 STONY BROOK ROAD,116 STONY BROOK RD,754247,UHOT,Active,C2,,0,Hunterdon
